event_id,ad_id,user_id,timestamp,day_of_week,time_of_day,event_type
93193,171,u00445,2025-07-01 05:15:50,Tuesday,Night,Impression
269981,117,u00279,2025-07-06 16:11:09,Sunday,Afternoon,Impression
140808,153,u01571,2025-05-11 17:40:01,Sunday,Afternoon,Impression
396413,172,u00653,2025-06-27 07:47:51,Friday,Morning,Impression
130277,173,u01180,2025-08-04 11:35:48,Monday,Morning,Impression
120925,75,u01361,2025-07-09 12:56:07,Wednesday,Afternoon,Impression
17079,77,u00516,2025-07-19 10:46:32,Saturday,Morning,Impression
30976,176,u01546,2025-06-28 13:17:55,Saturday,Afternoon,Impression
1513,108,u00547,2025-05-31 10:19:57,Saturday,Morning,Click
114212,91,u01457,2025-06-08 01:02:06,Sunday,Night,Impression
340080,26,u00656,2025-06-14 09:04:04,Saturday,Morning,Click
185283,8,u00205,2025-06-11 13:49:59,Wednesday,Afternoon,Impression
31567,121,u00670,2025-07-07 15:43:50,Monday,Afternoon,Impression
152138,6,u00048,2025-06-13 19:40:57,Friday,Evening,Impression
382077,120,u00849,2025-05-18 03:46:19,Sunday,Night,Impression
167400,102,u00659,2025-07-27 02:03:43,Sunday,Night,Impression
70157,197,u01741,2025-06-22 01:59:41,Sunday,Night,Impression
48645,7,u01138,2025-05-26 23:33:30,Monday,Evening,Click
148185,181,u00737,2025-08-01 23:23:54,Friday,Evening,Impression
147624,27,u00347,2025-08-03 04:06:18,Sunday,Night,Impression
199874,120,u00607,2025-07-08 20:35:26,Tuesday,Evening,Impression
126871,164,u00901,2025-08-03 12:29:31,Sunday,Afternoon,Impression
188507,79,u00791,2025-05-10 00:57:14,Saturday,Night,Like
312947,70,u01505,2025-06-22 11:37:48,Sunday,Morning,Impression
225637,74,u01063,2025-07-12 01:50:04,Saturday,Night,Impression
346247,116,u01136,2025-07-28 13:32:10,Monday,Afternoon,Click
333092,7,u01049,2025-07-08 12:06:09,Tuesday,Afternoon,Impression
355279,146,u00341,2025-07-29 07:13:46,Tuesday,Morning,Impression
63323,123,u00149,2025-05-14 14:26:00,Wednesday,Afternoon,Impression
170251,153,u00608,2025-07-20 18:36:13,Sunday,Evening,Click
