user_id,user_gender,user_age,age_group,country,location,interests
u00108,Female,35,35-44,Canada,North Dwayneberg,"health, finance"
u00111,Male,23,18-24,Brazil,East Alexis,"technology, sports, health"
u00112,Other,18,18-24,United Kingdom,Michellestad,food
u00114,Other,23,18-24,United Kingdom,Bowenhaven,"fitness, gaming"
u00115,Male,16,16-17,United States,Lake Kylie,"lifestyle, travel"
u00123,Male,29,25-34,Japan,Lake Jonathanview,"gaming, fitness, art"
u00124,Female,28,25-34,Germany,East Peggy,"food, finance"
u00125,Male,21,18-24,United States,South Jeremy,"fitness, technology"
u00126,Female,19,18-24,Brazil,Callahanside,"fitness, technology, fashion"
u00133,Male,19,18-24,United States,Grimesberg,technology
u00139,Female,34,25-34,United Kingdom,Jasmineland,lifestyle
u00143,Male,18,18-24,Australia,West Larry,"health, art, gaming"
u00149,Female,27,25-34,United States,Cranehaven,gaming
u00154,Male,27,25-34,United States,Dyerberg,"news, health, fashion"
u00155,Female,31,25-34,India,Karenfort,technology
u00172,Female,34,25-34,United States,Brownhaven,food
u00178,Male,24,18-24,Canada,Amyfurt,finance
u00182,Male,27,25-34,United States,Bentleyshire,photography
u00188,Male,48,45-54,Canada,West Nancyville,"fitness, art"
u00234,Female,46,45-54,United States,Codytown,travel
u00241,Female,40,35-44,United States,South Christineburgh,"finance, food, technology"
u00242,Male,31,25-34,United States,Collinsland,"sports, travel"
u00243,Other,31,25-34,United States,Lake Daniellebury,"lifestyle, news, fitness"
u00244,Male,16,16-17,Brazil,Thompsonberg,"photography, gaming"
u00245,Female,38,35-44,Australia,Cooperchester,lifestyle
u00250,Male,32,25-34,Australia,West Selena,"technology, sports, art"
u00251,Male,33,25-34,India,Port Jasonmouth,"news, travel, fitness"
u00256,Female,30,25-34,United Kingdom,South Amandamouth,"food, technology"
u00264,Female,31,25-34,United States,North Josephland,photography
u00268,Female,24,18-24,Brazil,Thomasland,"finance, fitness, lifestyle"
u00271,Female,20,18-24,Germany,West Annahaven,"technology, food"
u00274,Male,20,18-24,United Kingdom,Ashleyshire,food
u00277,Male,31,25-34,Germany,North Nicholasview,technology
u00279,Male,16,16-17,Germany,North Taylor,"gaming, fitness"
u00282,Male,24,18-24,United Kingdom,Port Jacobberg,sports
u00285,Male,19,18-24,United Kingdom,Tuckerhaven,"photography, news"
u00286,Male,20,18-24,United States,Port Robin,photography
u00287,Male,32,25-34,Japan,Port Williamtown,"technology, art"
u00288,Female,33,25-34,United States,Jasonfurt,"finance, food, gaming"
u00289,Male,26,25-34,United States,Romanmouth,"fashion, health"
u00292,Male,30,25-34,Mexico,Port Cynthia,"technology, finance"
u00293,Male,22,18-24,Japan,Brianaside,"sports, art, travel"
u00299,Male,18,18-24,United States,West Jennifer,fashion
u00300,Other,18,18-24,United States,West Loriview,finance
u00301,Female,36,35-44,France,Campbellmouth,"travel, news"
u00303,Male,42,35-44,Mexico,North Keithview,food
u00355,Male,26,25-34,United States,Paulmouth,travel
u00357,Female,24,18-24,United States,South Annaside,travel
u00363,Female,42,35-44,India,Erinhaven,"photography, sports, art"
u00364,Female,28,25-34,Mexico,Bushtown,"gaming, technology, fitness"
u00365,Female,24,18-24,Germany,Jamesbury,travel
u00366,Female,29,25-34,Germany,Heidishire,"art, finance, photography"
u00369,Other,23,18-24,Brazil,Linberg,"lifestyle, travel, gaming"
u00374,Male,22,18-24,United States,East Charles,"gaming, news, fashion"
u00380,Female,16,16-17,India,Davisstad,"gaming, food"
u00381,Male,21,18-24,United States,South Marchaven,art
u00383,Male,29,25-34,Brazil,East Angela,travel
u00386,Female,20,18-24,United Kingdom,Sarahside,"fashion, photography, food"
u00389,Female,29,25-34,India,North Danielland,"finance, health, technology"
